handle,ALOHA_초급반_1주차 (반가워요),ALOHA_중급반_1주차 (반가워요),ALOHA_고급반_1주차 (반가워요),ALOHA_중급반_2주차 (두근두근),ALOHA_초급반_2주차 (두근두근),ALOHA_고급반_2주차 (두근두근),ALOHA_초급반_3주차,ALOHA_중급반_3주차,ALOHA_고급반_3주차 (흐물흐물),ALOHA_초급반_4주차 (파이팅),ALOHA_중급반_4주차 (파이팅),ALOHA_고급반_4주차 (파이팅),ALOHA_초급반_5주차 (아자아자),ALOHA_중급반_5주차 (아자아자),ALOHA_고급반_5주차 (아자아자),ALOHA_초급반_6주차 (으쌰으쌰),ALOHA_중급반_6주차 (으쌰으쌰),ALOHA_고급반_6주차 (으쌰으쌰),ALOHA_초급반_7주차(으랏차차),ALOHA_중급반_7주차 (으랏차차),ALOHA_고급반_7주차 (으랏차차),ALOHA_초급반_8주차 (수고했어요),ALOHA_중급반_8주차 (수고했어요),ALOHA_고급반_8주차 (수고했어요),ALOHA_월반멘토링_1주차 (가보자고~),ALOHA_월반멘토링_2주차 (아자아자 파이팅),ALOHA_월반멘토링_3주차 (오호라~),ALOHA_월반멘토링_4주차 (할수있어!),ALOHA_월반멘토링_5주차 (수고했어용)
12dntjd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaron0520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akswn1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alreadysolved,0,8,1,12,0,0,0,13,3,1,6,0,0,12,0,0,6,2,1,12,0,12,3,1,3,2,0,1,3
alsdkffhgk,8,2,0,4,4,0,5,6,0,5,0,0,5,1,0,5,1,0,8,0,0,6,0,0,0,0,0,0,0
amadona,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
andrewmjk1,0,1,4,1,0,4,1,1,4,0,4,4,0,1,1,1,1,3,3,1,0,1,0,1,5,1,4,3,0
baryu97,0,4,0,6,0,0,2,12,0,2,3,0,1,5,0,0,3,0,2,3,0,11,1,0,2,0,0,1,1
bellhoon5,8,0,0,0,5,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betterx9,1,0,0,0,0,0,0,1,0,1,3,0,1,3,0,0,3,0,0,0,0,1,3,0,0,0,0,1,0
billroses,8,3,0,4,3,0,2,5,0,4,0,0,3,6,0,6,1,0,7,0,0,5,0,0,1,1,0,0,0
bjo0723,0,2,0,5,0,0,0,7,0,2,4,0,1,4,0,0,3,0,3,0,0,7,0,0,1,1,1,1,0
bomuk1024,0,4,0,5,0,0,0,7,0,1,3,0,0,7,0,0,6,0,1,6,0,6,3,0,1,0,0,1,2
brbr7904,0,2,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1,2,0,6,0,0,1,0,0,0,0
bumgoogle98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cachij,0,1,1,0,0,0,2,4,3,0,1,2,2,2,2,2,4,0,2,0,1,3,5,0,1,0,2,1,0
choyj427,0,4,4,0,0,2,1,1,0,0,1,0,1,0,1,2,1,0,0,1,0,1,2,0,0,1,2,1,1
clean01,7,6,0,6,5,0,2,9,0,4,4,0,2,7,0,4,6,0,6,6,0,9,4,0,3,2,4,4,1
coffee21,0,5,1,4,0,0,1,11,0,1,6,0,1,6,0,0,5,0,3,7,0,10,4,0,1,3,2,2,1
cowlick21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daniel7255,0,2,0,4,6,0,5,5,0,7,0,0,8,0,0,9,1,0,6,0,0,5,0,0,1,0,0,0,0
dannykim1218,8,0,0,1,6,0,8,1,0,5,0,0,6,1,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0
dbst2152,8,0,0,0,6,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dean22,8,1,0,1,1,0,4,3,0,1,0,0,1,1,0,4,1,0,5,2,0,3,1,0,0,0,0,0,0
dengdengyee,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derpwaffle21,0,1,8,1,1,0,0,2,2,0,1,0,0,0,0,1,1,0,0,0,0,2,5,1,0,0,1,0,1
diamondgyu,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
dksu40,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
dlgywjd2580,8,0,0,0,5,0,5,1,0,3,0,0,3,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0
dmswo1324,7,1,0,1,2,0,3,0,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
donghyeon,8,0,0,0,6,0,5,3,0,3,0,0,5,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0
dongwoon9612,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dustj922,0,6,0,7,0,0,0,6,0,2,4,0,0,4,0,2,5,0,2,6,0,6,3,0,7,4,0,1,1
effect2110,0,2,12,1,0,8,0,1,4,3,3,1,3,4,7,1,3,1,0,2,2,1,1,0,6,4,7,5,2
eun01210,8,5,0,8,6,0,9,14,0,7,2,0,8,8,0,9,4,0,11,1,0,13,0,0,2,5,2,1,0
eunjxno,8,0,0,0,6,0,5,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
eunso2002,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geonkang99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
gptjd0717,8,1,0,0,6,0,5,3,0,3,0,0,5,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0
gudtjd82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gunkk9,0,0,0,0,3,0,7,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h0022i,8,0,0,0,6,0,6,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
havinggoodboat,3,0,0,0,5,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
hee1366,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hibye1217,2,1,13,3,0,13,3,10,12,2,11,11,6,15,10,9,10,10,11,15,5,9,8,5,6,9,7,7,5
hycse21,8,4,0,4,4,0,7,5,0,6,1,0,4,4,0,5,1,0,3,4,0,3,0,0,1,1,0,0,1
hyeonseong03,8,0,0,1,6,0,9,3,0,7,0,0,8,0,0,9,1,0,8,0,0,3,0,0,0,0,0,0,0
hyucs_e,0,5,0,0,0,0,0,4,0,0,0,0,1,3,0,1,2,0,1,0,0,4,0,0,0,0,1,0,0
hyunsoo,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
ihmmaru99,8,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ihsl2112,2,0,0,1,4,0,0,0,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ingyu1008,8,0,4,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0,1,6,1,0,0,3,0,0,1,0,3
inho8720,8,3,0,4,6,0,9,3,0,5,0,0,8,0,0,9,1,0,9,0,0,3,0,0,0,0,0,0,0
irene9491,8,0,0,0,6,0,8,3,0,3,0,0,3,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0
ivan9104,8,0,0,0,4,0,8,0,0,3,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0
jerry7129,8,7,0,4,6,0,9,13,0,4,1,0,6,1,0,7,1,0,10,0,0,13,0,0,2,0,0,1,0
jhe0903,8,0,0,0,5,0,3,2,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0
jihoo0201,8,1,0,1,6,0,7,2,0,2,0,0,1,0,1,4,0,0,3,0,0,2,0,0,0,0,0,0,0
jjaewon9,0,0,12,1,0,7,0,1,2,0,9,0,1,7,0,0,2,0,0,1,0,1,1,2,0,1,0,2,1
jjh1324567,0,6,0,9,0,0,2,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,1,0,8,0,0,0,0
jk6722,0,2,5,4,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,1
joy9998710,8,3,0,2,6,0,7,3,0,4,3,0,3,3,0,3,3,0,5,2,0,3,0,0,7,6,6,6,3
juchan1220,0,2,11,2,0,7,0,5,6,1,3,4,0,1,2,0,2,0,0,1,0,4,2,0,1,0,1,0,0
junemoon11,8,1,0,2,5,0,5,2,0,4,2,0,5,2,0,5,1,0,4,4,0,2,0,0,6,0,0,1,0
junseo,0,6,8,1,0,1,0,1,1,0,1,1,0,3,0,1,4,3,3,0,0,1,2,0,0,2,2,0,1
juri1135,8,0,0,0,6,0,5,0,0,3,0,0,3,0,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0
justin043435,0,8,0,3,0,0,0,3,0,1,3,0,1,10,0,0,3,0,1,4,0,3,3,0,1,0,0,1,1
kalpa,1,3,0,0,0,0,0,3,0,0,3,0,0,0,0,1,3,0,0,1,0,3,2,0,0,0,0,1,0
keepon,8,0,0,0,6,0,5,2,0,3,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0
kibo82,0,4,0,1,0,0,0,0,0,2,4,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
kimjh2177,1,5,0,1,1,0,0,3,1,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
knho0136,8,2,0,3,6,0,9,4,0,5,0,0,8,0,0,9,1,0,10,0,0,4,0,0,0,0,0,0,0
ksostel10,8,0,0,2,6,0,8,0,0,6,0,0,5,2,0,9,1,0,9,0,0,0,0,0,6,5,0,0,0
ktw020409,1,0,0,1,4,0,0,5,0,2,1,0,2,4,0,3,2,0,5,0,0,5,0,0,1,1,1,0,0
kyukun3,7,2,0,5,3,0,5,4,0,7,0,0,5,7,0,2,1,0,4,1,0,3,0,0,1,3,1,0,0
lake,0,0,2,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,5,1,0,1,0
leezoe,8,0,0,0,4,0,5,0,0,3,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
letscode100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lhi0126,8,0,0,0,4,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
limhs2255,8,2,0,1,6,0,9,1,0,4,0,0,6,0,0,6,1,0,7,0,0,1,0,0,0,0,0,0,0
limjduni,8,3,0,4,6,0,9,3,0,7,0,0,8,0,0,6,1,0,5,0,0,3,0,0,1,0,0,0,0
live1234,0,5,0,7,0,0,0,7,0,1,3,0,0,3,0,0,3,0,1,4,0,7,4,0,1,0,0,1,0
ljungwon91,8,1,0,2,6,0,3,3,0,3,0,0,4,0,0,3,0,0,4,0,0,3,0,0,6,1,0,0,0
mgtkiwi_48,8,1,0,1,6,0,5,3,0,3,0,0,3,0,0,5,0,0,5,0,0,3,0,0,0,0,0,0,0
mikle8244,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine55,0,4,0,0,1,0,0,1,0,1,3,0,0,3,0,1,3,0,1,0,0,1,3,0,0,0,0,1,0
mnx,2,4,0,10,6,0,8,8,2,4,3,0,4,8,0,7,2,0,6,4,1,7,6,1,9,6,4,6,4
moonlight1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
my3,4,0,0,0,1,1,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mychoi1199,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
myday2day,0,3,0,10,0,0,1,9,0,1,2,0,1,4,0,1,0,0,2,0,0,9,0,0,5,1,0,0,0
nananiji,4,2,0,8,2,0,1,13,1,5,0,0,8,8,1,9,3,0,11,0,1,12,4,1,9,8,0,2,0
ngh0726,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nick832,0,2,13,1,0,12,0,1,12,0,3,10,0,15,10,0,8,13,1,0,8,1,0,8,1,4,1,1,3
ollo2010,8,0,0,1,6,0,5,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
onkkno,1,2,3,0,6,1,1,3,3,5,0,0,3,4,1,1,1,0,1,0,0,3,3,0,0,3,2,0,0
osy515,7,5,0,4,1,0,2,6,0,3,4,0,2,5,1,2,6,0,5,3,0,6,5,0,0,0,0,2,1
p6j6w6,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,1,0,3,2,0,0,0,0,1,0
parksemi0317,8,1,0,1,2,0,4,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
phrimm136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pkxx1004,8,0,0,0,5,0,3,0,0,3,0,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
purefriend,8,0,0,0,6,0,6,2,0,3,0,0,8,0,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0
qoalstjr,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
qwerasdf,0,3,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0
rgose,8,0,0,0,6,0,3,0,0,3,0,0,3,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0
riorea12,0,1,0,1,1,0,1,0,0,2,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
rmp0105,8,0,0,0,6,0,2,0,0,3,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
rnqjaah1536,7,3,2,4,4,0,8,5,0,6,2,0,7,5,0,7,4,0,5,5,0,5,0,0,0,2,3,1,1
roselee4877,8,4,1,2,3,0,6,0,0,4,1,0,3,6,0,6,3,0,4,1,0,0,0,0,8,8,7,6,2
roy030819,8,2,0,5,6,0,8,5,4,7,2,0,8,3,0,6,1,0,10,0,0,5,1,0,0,1,0,0,0
sally020530,6,0,0,0,0,0,3,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sanghyean1,8,1,0,1,2,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
se071707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
seacweed,1,2,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
seojin064,7,0,0,0,6,0,5,1,0,4,0,0,7,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0
seonah,8,8,1,7,6,0,9,10,1,7,5,0,8,5,1,1,4,0,9,5,0,9,4,1,8,6,6,8,6
seunghoonlp,0,5,2,10,0,0,0,5,0,1,5,0,0,9,1,0,3,0,0,5,0,4,2,0,1,2,0,1,2
siu_1585_kim,8,2,0,1,6,0,6,3,0,3,0,0,5,3,0,3,1,0,4,3,0,3,0,0,3,0,0,0,0
sj1226m,1,6,0,1,1,0,0,4,3,1,3,0,1,1,0,6,3,0,3,0,0,4,0,0,0,0,0,1,0
skyblue02,1,0,4,0,0,0,2,0,4,1,1,2,1,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0
sohu0121,2,0,9,1,0,6,0,3,7,1,1,3,2,5,2,0,10,0,1,7,0,3,5,0,0,0,2,0,2
sonje515,8,0,0,0,6,0,4,0,0,3,0,0,3,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0
sophia0329,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
sourkey12,0,8,2,2,0,0,1,3,0,0,3,0,0,1,0,0,2,0,0,4,0,3,3,0,1,0,1,2,1
spacexmark25,8,0,0,0,4,0,6,3,0,3,0,0,5,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0
suh1088,8,0,0,0,6,0,7,2,0,4,0,0,6,0,0,5,1,0,6,0,0,2,0,0,0,0,0,0,0
taka,8,0,0,0,6,0,5,3,0,3,0,0,5,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0
terryaccount,0,3,0,3,1,0,1,4,0,0,3,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0
thak00,0,0,13,0,0,13,0,0,12,0,1,0,0,0,7,0,1,0,0,1,0,0,0,1,0,0,1,0,2
thskadud,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
thxios457,1,7,2,10,0,1,0,6,0,1,7,0,1,1,5,0,9,0,3,6,0,5,6,2,2,0,1,1,0
tjalsdyd2121,8,0,0,1,5,0,4,0,0,3,2,0,3,3,0,4,0,0,3,3,0,0,0,0,4,0,0,1,0
tlgus0812,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,1
wallroad,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0
wgjh,8,0,0,0,2,0,3,3,0,3,0,0,3,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0
whaudrn3708,8,0,0,2,6,0,9,2,0,6,1,0,7,0,0,5,1,0,5,0,0,2,0,0,2,0,0,0,0
whye8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wjs4379,0,2,0,1,1,0,1,0,0,2,3,0,1,3,0,0,0,0,2,3,0,0,0,0,1,0,0,1,1
wnsah814,1,5,0,6,0,0,4,4,0,1,2,0,2,10,0,4,6,0,4,5,0,4,3,0,1,3,2,1,1
yjinpark,0,1,2,2,0,0,2,0,3,0,1,0,0,2,4,0,0,0,1,0,0,0,2,0,7,4,5,4,0
ymjoo12,0,5,2,1,0,0,1,4,1,0,1,0,0,2,1,0,3,0,1,3,0,4,1,1,0,0,2,0,1
ysmsmart1,3,6,1,4,0,0,1,5,0,3,4,0,1,3,1,0,5,0,3,1,1,4,2,0,2,1,1,1,0
yulyul0902,8,0,0,0,6,0,6,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
yuns1225,8,0,0,0,6,0,7,3,0,5,0,0,3,0,0,6,0,0,3,0,0,3,0,0,0,0,0,0,0
zhzhdk257,5,5,0,5,0,0,0,6,0,2,3,0,0,5,0,0,5,0,1,4,0,6,3,0,1,0,0,1,1
zorocrit,1,3,0,4,0,0,1,1,0,0,2,0,1,5,0,3,0,0,3,2,0,1,0,0,6,6,6,5,1
